employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
70508,Laura,Jenkins,laura.jenkins@chavez.com,2017-08-04,"Nurse, mental health",Marketing,132316,92779,7942 Gabriel Ports Suite 986,North Crystalstad,DE,56356,1992-10-31,Active
70508,Andrew,Johnson,andrew.johnson@henderson.org,2021-07-27,Herbalist,Engineering,93906,81821,0476 Rice Flats,Laneport,PR,79722,1998-10-14,Inactive
29635,Vincent,Parker,vincent.parker@davis-gibbs.com,2016-07-03,Theme park manager,Sales,"$104,941",37086,,North Kimberly,DE,34655,1983-10-29,Active
59513,Anna,Thomas,anna.thomas,2021-07-04,Armed forces operational officer,Marketing,138093,58402,445 Stanton Knolls Apt. 926,Lake Jodiburgh,PR,51818,1977-02-22,Active
59513,Devon,Hall,devon.hall@pena.com,2018-11-12,Geoscientist,maRKeTing,84226,30563,4605 Matthew Road Suite 824,New Ryan,NY,95619,1982-02-05,On Leave
44159,Melissa,Morgan,melissa.morgan@owen-shaw.biz,2023-01-12,Museum/gallery curator,Sales,100030,60077,291 Christopher Islands,Wallacetown,PA,05219,1997-08-21,On Leave
26691,Logan,Baker,logan.baker@schmitt.info,2017-12-11,"Programmer, systems",Marketing,118607,78895,0140 Jackson Gateway Suite 680,Kathrynborough,MA,25351,1980-04-14,Inactive
35918,Tonya,Frederick,tonya.frederick,2019-08-09,Exhibition designer,IT,"$112,873",15493,90838 David Plains,Stephaniehaven,KS,29375,1982-01-09,Active
86276,Ashley,Jones,ashley.jones@stein-stewart.com,2016-10-25,Chief Financial Officer,Engineering,"$92,678",44159,5211 Julia Place Apt. 378,Willisbury,DE,33193,1991-11-07,On Leave
36248,Chad,Pearson,chad.pearson,2017-12-20,Dramatherapist,Marketing,112309,37086,51117 Marissa Groves Apt. 717,New Victor,HI,16749,1991-04-14,Active
67353,Jason,Stark,jason.stark@chang.biz,2017-10-21,"Development worker, community",Engineering,51789,67435,51782 Chang Fields Apt. 387,Port Scott,WY,,1971-07-21,Inactive
51541,Sandra,Parrish,sandra.parrish@keith.com,2022-08-01,"Engineer, biomedical",Engineering,149792,77789,94592 Michael Grove,Ballardburgh,KS,99704,2002-10-18,Inactive
49081,Tiffany,Chen,tiffany.chen@randolph-myers.com,2017-06-03,Medical sales representative,Operations,111720,23399,3182 Young Row,East William,MO,69914,1991-08-13,Active
21306,Steven,Mcneil,steven.mcneil@garcia.biz,2024-05-04,Toxicologist,Operations,51430,25913,3982 Henry Light,Lake Stephenstad,MD,78229,1990-01-31,Active
30336,Rebecca,Martin,rebecca.martin@watkins.org,2023-06-09,Multimedia programmer,Marketing,120012,73929,5008 Hall Port,Edwinland,RI,95931,1974-03-30,Inactive
51541,David,Nunez,david.nunez@zhang.com,2024-11-28,Ergonomist,Sales,"$123,461",64821,300 Mark Shoal Apt. 407,Lake Victoriafurt,IL,34735,1980-12-11,Active
31173,Debra,Moreno,debra.moreno@dean.com,2020-08-27,"Research officer, trade union",HR,"$124,863",74213,2184 Bell Drives,Ortegaton,VI,22979,1984-01-13,On Leave
26051,Nicholas,Davis,nicholas.davis@rice.org,2016-04-21,Automotive engineer,Operations,91576,63591,41993 Nathaniel Street,Karenville,MS,35676,1988-01-09,Inactive
86276,James,Rivera,james.rivera@patrick-wilkerson.com,2023-08-04,"Designer, graphic",Operations,"$79,881",95535,1737 Cindy Island,New Michael,UT,81393,1991-12-13,Active
34147,Katrina,Alvarez,katrina.alvarez@parker.net,2025-03-25,"Surveyor, mining",Engineering,68271,10066,0795 Copeland Road,Lake Katie,NY,40145,1990-04-05,Active
82566,Brian,Atkinson,brian.atkinson@jordan.com,2016-11-13,Estate manager/land agent,IT,98522,41301,52930 Jeffrey Roads Suite 280,Ruthhaven,ND,09106,2001-08-17,Active
15869,Sharon,Beasley,sharon.beasley@howard-torres.net,2021-11-30,IT trainer,EnGineeRING,"$69,406",31696,,Jamesbury,VA,18511,1969-08-14,On Leave
26051,Marie,White,marie.white@romero.org,2024-12-22,"Social research officer, government",HR,"$43,494",30791,7058 Matthew Grove,New Rebecca,UT,51895,1977-01-22,On Leave
67910,Kenneth,White,kenneth.white@mcguire-mccall.com,2019-06-01,Commercial horticulturist,HR,"$84,837",59055,7766 Timothy View Suite 633,North Kristi,WV,09770,1990-07-02,Active
67435,Amber,Nelson,amber.nelson@jackson-foster.biz,2024-04-02,"Production designer, theatre/television/film",iT,146485,53039,5308 Riley Pine,South Vincentborough,IL,84751,2003-07-07,Active
27642,ViCtoRIa,dOMiNGuez,victoria.dominguez@edwards.com,2024-05-13,Commercial art gallery manager,Engineering,105785,72534,566 Perez Viaduct,New Tracy,AZ,21196,1983-01-22,Active
97834,Stephen,Delgado,stephen.delgado@lewis.com,2016-06-18,Fisheries officer,Engineering,116397,88932,0222 Huber Plains,Kathleenburgh,MN,12912,1983-06-27,Inactive
95863,Stephen,Little,stephen.little@dunn-gonzalez.com,2019-07-28,"Designer, fashion/clothing",Engineering,148598,78888,4915 Adam Bridge,East Alexis,MS,91676,1995-10-31,Active
60311,Lauren,Rogers,lauren.rogers@cannon-jones.info,2023-12-01,Quarry manager,Finance,77212,57116,,North Erik,KS,37861,2003-05-27,Inactive
56874,Joel,Higgins,joel.higgins@gentry.com,2023-07-14,Museum education officer,HR,138915,15042,462 Ann Forge Apt. 063,Port Donton,IL,74388,1975-01-13,Active
24595,Brittany,Church,brittany.church@ward.biz,2026-09-08,"Civil engineer, contracting",Engineering,77347,15151,6807 Johnson Avenue Suite 111,Davidland,WA,98941,1973-06-04,Active
43742,Cory,Wolfe,cory.wolfe@harvey-rice.net,2016-04-01,Bonds trader,Engineering,66653,22429,,West Mercedesland,OH,07256,1986-11-28,On Leave
44172,JaSOn,SMith,jason.smith@christensen-barker.com,2024-10-22,Ecologist,Marketing,142380,32529,759 Whitehead Stravenue,Spencerhaven,OR,17358,2002-11-26,Inactive
92281,Philip,Murphy,philip.murphy@pugh.biz,2018-02-05,Ergonomist,HR,137989,53653,87482 Kirk Grove,Courtneyborough,MS,41289,1971-05-11,On Leave
43531,Gwendolyn,Garcia,gwendolyn.garcia@thompson.org,2019-10-17,Probation officer,Engineering,141328,49124,736 Harris Junctions,Natalieborough,CA,34006,1970-10-08,On Leave
74213,Allen,Wolfe,allen.wolfe@herring.com,2026-01-05,"Engineer, automotive",IT,"$117,388",32516,72836 Jessica Estate Suite 923,Michaeltown,ID,80181,1980-10-15,Inactive
39081,StepHaNIE,MCGeE,stephanie.mcgee@brooks.com,2017-08-08,Production engineer,Operations,113820,19475,94152 Chavez Extension,Lake Alexander,MT,43258,1995-11-25,On Leave
16438,Gloria,Franklin,gloria.franklin,2026-06-16,"Pharmacist, community",Marketing,101472,40302,151 Brooke Falls,New Matthew,DE,75811,1981-11-15,Inactive
